Date,percentage,Sum
1/9/2010,0.002,11000
1/10/2010,0.009,65800
1/11/2010,0.011,80200
1/12/2010,0.06,429375
1/13/2010,0.117,835250
1/14/2010,0.316,2247275
1/15/2010,0.764,5436525
2/8/2010,0.006,41475
2/9/2010,0.001,5000
2/10/2010,0.012,86125
2/11/2010,0.021,152850
2/12/2010,0.046,324900
2/13/2010,0.115,817225
2/14/2010,0.246,1749775
2/15/2010,0.531,3777725
3/8/2010,0.007,49000
3/9/2010,0.022,155950
3/10/2010,0.016,113975
3/11/2010,0.041,294825
3/12/2010,0.047,333725
3/13/2010,0.204,1450775
3/14/2010,0.309,2195700
3/15/2010,0.658,4680525
4/8/2010,0.004,28000
4/9/2010,0.006,41000
4/10/2010,0.026,183000
4/11/2010,0.034,239075
4/12/2010,0.065,464750
4/13/2010,0.191,1356825
4/14/2010,0.409,2906450
4/15/2010,0.818,5821850
5/8/2010,0.004,26250
5/9/2010,0.001,10000
5/10/2010,0.029,203025
5/11/2010,0.034,239500
5/12/2010,0.069,487600
5/13/2010,0.205,1461825
5/14/2010,0.31,2207700
5/15/2010,0.773,5500950
6/8/2010,0.001,7000
6/9/2010,0.012,86000
6/10/2010,0.035,246300
6/11/2010,0.04,286175
6/12/2010,0.06,424850
6/13/2010,0.214,1525500
6/14/2010,0.276,1965725
6/15/2010,0.598,4255800
7/8/2010,0.004,25000
7/9/2010,0.006,40000
7/10/2010,0.028,201250
7/11/2010,0.034,244275
7/12/2010,0.09,636925
7/13/2010,0.215,1531050
7/14/2010,0.455,3235700
7/15/2010,0.952,6773850
8/9/2010,0.008,60000
8/10/2010,0.022,157800
8/11/2010,0.04,283525
8/12/2010,0.114,810600
8/13/2010,0.233,1660900
8/14/2010,0.348,2476025
8/15/2010,0.691,4913500
9/9/2010,0.008,55600
9/10/2010,0.033,236200
9/11/2010,0.042,302225
9/12/2010,0.096,681475
9/13/2010,0.216,1539325
9/14/2010,0.207,1474000
9/15/2010,0.572,4066875
10/7/2010,0.001,5000
10/8/2010,0.005,37100
10/9/2010,0.008,58600
10/10/2010,0.03,215975
10/11/2010,0.05,352425
10/12/2010,0.126,899625
10/13/2010,0.251,1783575
10/14/2010,0.626,4451200
10/15/2010,1,7113675
11/8/2010,0.002,15000
11/9/2010,0.011,79000
11/10/2010,0.022,159075
11/11/2010,0.047,336125
11/12/2010,0.11,785525
11/13/2010,0.243,1728850
11/14/2010,0.403,2869425
11/15/2010,0.767,5453400
12/8/2010,0.008,56000
12/9/2010,0.014,98700
12/10/2010,0.037,265600
12/11/2010,0.027,192250
12/12/2010,0.103,736000
12/13/2010,0.202,1437175
12/14/2010,0.207,1470075
12/15/2010,0.782,5561525
1/8/2011,0.01,68350
1/9/2011,0.004,30500
1/10/2011,0.014,100850
1/11/2011,0.014,102600
1/12/2011,0.045,323350
1/13/2011,0.06,425175
1/14/2011,0.246,1749025
1/15/2011,0.699,4973350
2/8/2011,0.007,49800
2/10/2011,0.007,50850
