Date,percentage,Sum,state
12/14/2010,0.744,26025,TX
1/14/2010,0.529,18500,FL
10/15/2010,1.000,35000,VA
10/15/2010,0.703,24600,WA
10/15/2010,1.000,35000,FL
10/15/2010,0.600,21000,NY
10/15/2010,0.086,3000,NY
10/15/2010,0.057,2000,CA
10/15/2010,0.071,2500,OH
10/15/2010,0.400,14000,SC
10/15/2010,0.714,25000,PA
10/15/2010,0.429,15000,FL
10/15/2010,0.604,21150,CO
9/15/2010,0.457,16000,OH
9/15/2010,0.714,25000,CA
9/15/2010,0.300,10500,GA
9/15/2010,0.209,7325,TX
9/15/2010,0.571,20000,SC
9/15/2010,0.114,4000,MT
8/15/2010,0.549,19200,UT
8/15/2010,0.229,8000,PA
9/15/2010,0.357,12500,MA
8/15/2010,0.657,23000,MI
8/15/2010,0.549,19200,NY
7/15/2010,0.571,20000,GA
7/15/2010,0.846,29600,WV
7/15/2010,0.286,10000,NY
7/15/2010,0.343,12000,AZ
7/15/2010,0.528,18475,CA
7/15/2010,1.000,35000,VA
7/15/2010,0.207,7250,TX
7/15/2010,0.171,6000,WA
6/15/2010,0.400,14000,FL
6/15/2010,0.686,24000,IL
6/15/2010,0.229,8000,CO
6/15/2010,0.857,30000,MD
6/15/2010,0.549,19200,CA
5/15/2010,0.894,31275,SD
4/15/2010,0.514,18000,TX
4/15/2010,0.429,15000,CA
3/15/2010,0.286,10000,IL
3/15/2010,0.214,7500,CO
4/15/2010,0.514,18000,NJ
3/15/2010,1.000,35000,GA
3/15/2010,0.103,3600,OK
3/15/2010,0.286,10000,NC
2/15/2010,0.286,10000,IL
2/15/2010,0.629,22000,FL
1/15/2010,0.614,21500,OH
1/15/2010,0.286,10000,NY
1/15/2010,0.274,9600,TX
1/15/2010,0.286,10000,NC
1/15/2010,0.171,6000,AZ
1/15/2010,0.286,10000,IL
3/12/2010,0.143,5000,PA
11/13/2010,0.171,6000,WA
12/13/2010,0.320,11200,TN
12/13/2010,0.571,20000,AZ
9/13/2010,0.686,24000,TX
8/12/2010,0.200,7000,NJ
11/13/2010,1.000,35000,MN
3/10/2010,0.514,18000,FL
7/13/2010,0.429,15000,CA
7/13/2010,0.894,31275,GA
6/13/2010,0.671,23500,CT
3/13/2010,0.143,5000,IL
7/11/2010,0.686,24000,CA
5/13/2010,0.086,3000,OR
11/11/2010,1.000,35000,PA
12/12/2010,0.314,11000,OH
11/12/2010,1.000,35000,AR
9/13/2010,0.086,3000,NJ
11/13/2010,0.114,4000,GA
8/12/2010,0.714,25000,FL
12/13/2010,0.243,8500,NY
4/13/2010,0.617,21600,CA
2/12/2010,0.343,12000,CA
11/13/2010,0.286,10000,CA
10/11/2010,0.686,24000,AZ
6/13/2010,0.457,16000,CA
5/13/2010,0.343,12000,PA
12/9/2010,0.714,25000,MI
11/13/2010,0.143,5000,TX
9/13/2010,0.286,10000,VA
9/13/2010,0.120,4200,PA
8/13/2010,0.571,20000,FL
6/13/2010,0.714,25000,PA
2/13/2010,0.286,10000,WV
12/12/2010,0.429,15000,IL
11/12/2010,0.154,5400,MO
8/12/2010,0.095,3325,TX
7/12/2010,0.171,6000,RI
12/13/2010,0.429,15000,NJ
7/12/2010,0.029,1000,CA
6/12/2010,0.043,1500,AZ
5/14/2010,0.086,3000,SD
9/13/2010,0.429,15000,MD
10/10/2010,0.434,15200,NY
7/13/2010,0.286,10000,MI
2/14/2010,0.706,24700,LA
2/11/2010,0.300,10500,TX
12/10/2010,0.463,16200,HI
11/13/2010,0.229,8000,AL
10/13/2010,0.525,18375,CO
10/13/2010,0.143,5000,FL
10/13/2010,1.000,35000,TN
9/13/2010,1.000,35000,TX
8/13/2010,0.286,10000,TX
7/13/2010,0.086,3000,TX
5/13/2010,0.343,12000,OH
5/13/2010,0.194,6800,CA
5/13/2010,0.566,19800,CA
5/13/2010,0.857,30000,NY
5/13/2010,0.389,13625,NC
5/13/2010,0.200,7000,OH
4/13/2010,0.429,15000,NJ
2/13/2010,0.160,5600,IL
2/13/2010,0.300,10500,NV
10/12/2010,0.343,12000,NJ
10/12/2010,0.371,13000,CA
9/12/2010,0.571,20000,CA
8/12/2010,0.123,4300,KY
4/12/2010,0.514,18000,NJ
3/12/2010,0.343,12000,MT
12/14/2010,0.343,12000,CA
12/14/2010,1.000,35000,RI
12/14/2010,0.600,21000,WA
12/14/2010,0.171,6000,NY
12/14/2010,0.714,25000,NY
12/14/2010,0.571,20000,OR
11/14/2010,0.600,21000,WA
11/14/2010,0.686,24000,CT
11/14/2010,0.343,12000,NC
11/14/2010,0.086,3000,NC
11/14/2010,0.274,9600,CA
11/14/2010,0.410,14350,WI
10/14/2010,0.309,10800,NV
10/14/2010,1.000,35000,FL
10/14/2010,0.514,18000,FL
11/14/2010,0.854,29900,IL
10/14/2010,0.471,16500,CA
10/14/2010,0.114,4000,TX
10/14/2010,0.457,16000,PA
10/14/2010,0.440,15400,PA
10/14/2010,0.229,8000,LA
10/14/2010,0.266,9300,CA
10/14/2010,0.429,15000,SC
10/14/2010,0.257,9000,OH
10/14/2010,0.371,13000,NJ
10/14/2010,0.171,6000,SC
10/14/2010,0.343,12000,NJ
10/14/2010,0.757,26500,WV
9/14/2010,0.214,7500,LA
9/14/2010,0.854,29900,MD
9/14/2010,0.086,3000,GA
9/14/2010,0.213,7450,TX
9/14/2010,0.571,20000,NJ
9/14/2010,0.229,8000,CA
9/14/2010,0.080,2800,VA
9/14/2010,0.571,20000,CA
9/14/2010,0.340,11900,OH
8/14/2010,0.114,4000,NV
8/14/2010,0.457,16000,TX
8/14/2010,0.229,8000,NY
8/14/2010,0.343,12000,KS
8/14/2010,0.132,4625,GA
8/14/2010,0.143,5000,IN
8/14/2010,0.075,2625,MO
8/14/2010,0.686,24000,OR
8/14/2010,0.172,6025,SC
8/14/2010,0.286,10000,MA
8/14/2010,0.043,1500,AR
8/14/2010,0.343,12000,OH
8/14/2010,0.714,25000,PA
8/14/2010,0.514,18000,CA
8/14/2010,0.343,12000,MN
7/14/2010,0.226,7925,CA
7/14/2010,0.800,28000,CA
7/14/2010,0.857,30000,GA
7/14/2010,0.486,17000,SC
7/14/2010,0.304,10650,NY
7/14/2010,0.429,15000,TX
7/14/2010,0.468,16375,TX
7/14/2010,0.549,19200,FL
7/14/2010,0.429,15000,CA
7/14/2010,0.468,16375,IL
7/14/2010,0.177,6200,MN
7/14/2010,0.086,3000,MI
7/14/2010,0.229,8000,OH
6/14/2010,0.286,10000,CA
7/14/2010,0.274,9600,PA
6/14/2010,0.086,3000,DE
6/14/2010,0.571,20000,NY
6/14/2010,0.171,6000,MA
6/14/2010,0.343,12000,NY
5/14/2010,0.086,3000,OR
5/14/2010,0.469,16425,NY
5/14/2010,0.274,9600,AZ
5/14/2010,0.343,12000,CT
5/14/2010,0.650,22750,NY
5/14/2010,0.223,7800,CA
5/14/2010,0.686,24000,AR
4/14/2010,0.457,16000,RI
4/14/2010,0.137,4800,NY
4/14/2010,0.514,18000,IL
4/14/2010,0.286,10000,VA
4/14/2010,0.429,15000,MN
4/14/2010,0.229,8000,VA
4/14/2010,0.514,18000,CA
4/14/2010,0.409,14325,AR
4/14/2010,0.686,24000,CA
4/14/2010,0.114,4000,WA
4/14/2010,0.326,11400,IL
4/14/2010,0.208,7275,CA
4/14/2010,0.286,10000,MO
4/14/2010,0.329,11500,MA
4/14/2010,0.100,3500,WA
3/14/2010,0.943,33000,MD
4/14/2010,0.583,20400,MO
3/14/2010,0.171,6000,CA
3/14/2010,0.714,25000,OR
3/14/2010,0.269,9400,FL
3/14/2010,0.514,18000,MO
3/14/2010,0.457,16000,NY
3/14/2010,0.389,13625,FL
3/14/2010,0.571,20000,CT
2/14/2010,0.686,24000,PA
2/14/2010,1.000,35000,FL
2/14/2010,1.000,35000,NV
2/14/2010,0.429,15000,FL
