id,member_id,loan_amnt,term,grade,sub_grade,numeric_grade,purpose,addr_state,earliest_cr_line_with_correct_year,issue_date_with wrong year,date,term_int
71823,70473,4350, 36 months,C,C3,42,debt_consolidation,NY,1/1/1944,2/13/2019,2/13/1944,36
77757,70626,3000, 36 months,B,B3,52,debt_consolidation,GA,1/1/1944,11/15/2019,11/15/1944,36
73003,70651,3200, 36 months,B,B2,53,credit_card,MI,1/1/1946,12/13/2019,12/13/1946,36
70686,70681,5000, 36 months,E,E4,21,debt_consolidation,CA,8/1/1946,12/15/2019,12/15/1946,36
72323,70694,5000, 36 months,C,C5,40,debt_consolidation,FL,1/1/1948,10/13/2019,10/13/1948,36
88854,70699,5000, 36 months,C,C5,40,debt_consolidation,OH,6/1/1949,10/14/2019,10/14/1949,36
143602,143597,3600, 36 months,C,C1,44,credit_card,NY,10/1/1962,6/15/2019,6/15/1962,36
143728,143673,2825, 36 months,B,B3,52,credit_card,TX,10/1/1962,5/15/2019,5/15/1962,36
67988480,72847204,3500, 36 months,A,A1,64,debt_consolidation,NJ,4/1/2011,9/14/2019,9/14/2011,36
67988508,72847234,35000, 60 months,E,E4,21,debt_consolidation,TX,4/1/2011,9/14/2019,9/14/2011,60
67988513,72847239,14175, 36 months,F,F3,12,debt_consolidation,NY,4/1/2011,9/14/2019,9/14/2011,36
67988555,72847285,15000, 36 months,D,D5,30,debt_consolidation,MS,4/1/2011,9/14/2019,9/14/2011,36
67988567,72847298,22000, 60 months,E,E2,23,debt_consolidation,MS,4/1/2011,8/14/2019,8/14/2011,60
67988590,72847321,15000, 36 months,C,C3,42,debt_consolidation,IN,4/1/2011,8/14/2019,8/14/2011,36
67988591,72847322,15000, 36 months,C,C1,44,debt_consolidation,GA,4/1/2011,8/14/2019,8/14/2011,36
67988600,72847331,24000, 36 months,B,B2,53,debt_consolidation,NJ,4/1/2011,8/14/2019,8/14/2011,36
67988641,72847375,34000, 36 months,B,B4,51,debt_consolidation,OR,4/1/2011,8/14/2019,8/14/2011,36
67988653,72847388,19675, 36 months,A,A5,60,debt_consolidation,FL,4/1/2011,8/14/2019,8/14/2011,36
67988673,72847410,8000, 36 months,F,F5,10,debt_consolidation,OH,4/1/2011,8/14/2019,8/14/2011,36
67988676,72847413,10000, 36 months,A,A4,61,debt_consolidation,PA,4/1/2011,8/14/2019,8/14/2011,36
67988685,72847422,8150, 36 months,B,B1,54,debt_consolidation,CA,4/1/2011,8/14/2019,8/14/2011,36
67988691,72847428,5000, 36 months,C,C1,44,debt_consolidation,WV,4/1/2011,8/14/2019,8/14/2011,36
67988703,72847440,6025, 36 months,C,C3,42,debt_consolidation,TX,4/1/2011,8/14/2019,8/14/2011,36
67988718,72847456,13200, 36 months,E,E4,21,debt_consolidation,FL,4/1/2011,8/14/2019,8/14/2011,36
67988719,72847457,15000, 36 months,A,A1,64,debt_consolidation,MI,4/1/2011,8/14/2019,8/14/2011,36
67988729,72847467,10000, 36 months,D,D2,33,debt_consolidation,NJ,4/1/2011,8/14/2019,8/14/2011,36
67988731,72847469,8000, 36 months,A,A5,60,debt_consolidation,VA,4/1/2011,8/14/2019,8/14/2011,36
67988758,72847496,10800, 60 months,A,A4,61,debt_consolidation,NY,4/1/2011,8/14/2019,8/14/2011,60
67988772,72847510,6000, 36 months,C,C2,43,debt_consolidation,MA,4/1/2011,7/14/2019,7/14/2011,36
67988790,72847530,12000, 60 months,C,C3,42,debt_consolidation,CA,4/1/2011,7/14/2019,7/14/2011,60
67988803,72847544,10000, 36 months,C,C2,43,debt_consolidation,MS,4/1/2011,7/14/2019,7/14/2011,36
67988832,72847574,2500, 36 months,D,D1,34,debt_consolidation,AZ,4/1/2011,7/14/2019,7/14/2011,36
67988845,72847587,12000, 60 months,B,B4,51,debt_consolidation,CO,4/1/2011,7/14/2019,7/14/2011,60
67988862,72847604,25000, 36 months,C,C3,42,debt_consolidation,TX,4/1/2011,7/14/2019,7/14/2011,36
67988870,72847612,6000, 36 months,B,B5,50,debt_consolidation,UT,4/1/2011,7/14/2019,7/14/2011,36
67988885,72847629,11400, 60 months,D,D2,33,debt_consolidation,AZ,4/1/2011,7/14/2019,7/14/2011,60
67988895,72847639,33750, 60 months,G,G5,0,debt_consolidation,GA,4/1/2011,7/14/2019,7/14/2011,60
67988897,72847641,2000, 36 months,A,A4,61,debt_consolidation,TX,4/1/2011,7/14/2019,7/14/2011,36
67988911,72847655,20000, 36 months,B,B3,52,debt_consolidation,CA,4/1/2011,7/14/2019,7/14/2011,36
67988912,72847656,25000, 60 months,A,A1,64,debt_consolidation,NJ,4/1/2011,7/14/2019,7/14/2011,60
